academic_year,provider_slug,download_url,bytes
2024-25,kingston-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/kingston-university/grant-data-tables,4967
2024-25,lamda,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/lamda/grant-data-tables,2641
2024-25,lancaster-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/lancaster-university/grant-data-tables,5664
2024-25,leeds,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/leeds/grant-data-tables,6910
2024-25,leeds-arts-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/leeds-arts-university/grant-data-tables,3290
2024-25,leeds-beckett-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/leeds-beckett-university/grant-data-tables,5292
2024-25,leeds-trinity-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/leeds-trinity-university/grant-data-tables,3730
2024-25,leicester,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/leicester/grant-data-tables,5943
2024-25,lincoln,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/lincoln/grant-data-tables,5713
2024-25,liverpool,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/liverpool/grant-data-tables,6361
2024-25,liverpool-hope-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/liverpool-hope-university/grant-data-tables,4706
2024-25,liverpool-john-moores-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/liverpool-john-moores-university/grant-data-tables,5827
2024-25,liverpool-school-of-tropical-medicine,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/liverpool-school-of-tropical-medicine/grant-data-tables,4119
2024-25,london-business-school,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/london-business-school/grant-data-tables,3490
2024-25,london-metropolitan-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/london-metropolitan-university/grant-data-tables,4433
2024-25,london-school-of-economics-and-political-science,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/london-school-of-economics-and-political-science/grant-data-tables,6320
2024-25,london-school-of-hygiene-and-tropical-medicine,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/london-school-of-hygiene-and-tropical-medicine/grant-data-tables,4406
2024-25,loughborough-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/loughborough-university/grant-data-tables,5696
2024-25,lsbu,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/lsbu/grant-data-tables,4170
2024-25,manchester,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/manchester/grant-data-tables,7328
2024-25,manchester-metropolitan-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/manchester-metropolitan-university/grant-data-tables,5498
2024-25,metanoia-institute,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/metanoia-institute/grant-data-tables,3020
2024-25,middlesex-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/middlesex-university/grant-data-tables,5241
2024-25,national-film-and-television-school,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/national-film-and-television-school/grant-data-tables,3412
2024-25,newcastle-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/newcastle-university/grant-data-tables,7040
2024-25,northampton,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/northampton/grant-data-tables,4369
2024-25,northumbria-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/northumbria-university/grant-data-tables,5358
2024-25,norwich-university-of-the-arts,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/norwich-university-of-the-arts/grant-data-tables,3533
2024-25,nottingham-the,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/nottingham-the/grant-data-tables,7318
2024-25,nottingham-trent-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/nottingham-trent-university/grant-data-tables,5475
2024-25,open-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/open-university/grant-data-tables,6076
2024-25,oxford-brookes-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/oxford-brookes-university/grant-data-tables,5521
2024-25,oxford-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/oxford-university/grant-data-tables,7638
